1s,2s,3s,4s,5s,6s,7s,8s,9s,10s,appliance
6.13117,8.21173,9.5795,9.59102,15.17626,6.91434,6.47964,10.18876,10.12527,6.07083,Desk Lamp
0.94806,0.36627,0.18844,1.49232,0.76881,0.54851,1.98235,0.94471,0.55894,1.34302,Phone Charger
23.36191,19.68414,18.37868,20.07581,19.00589,17.72666,16.92442,18.60518,17.41572,18.94298,Monitor
53.18299,53.29592,52.02264,51.14748,53.9946,52.36954,51.09096,53.61302,54.10492,54.50862,Electric Fan
62.16204,50.46575,48.70429,61.68422,53.97179,48.66898,62.30094,43.48927,63.78057,49.23201,Laptop Charger
10.01276,9.91475,8.26522,8.98692,6.83005,5.15774,7.29091,6.53854,7.68517,8.40849,Desk Lamp
0.2918,0.40661,0.3945,0.46827,0.12906,1.70202,1.08816,0.53112,0.71071,0.03694,Phone Charger
17.86861,16.87368,19.44514,24.03544,23.96599,21.1292,21.76299,26.19512,22.93466,22.99471,Monitor
52.31165,55.10481,53.06012,51.40432,50.56595,54.38467,51.79071,50.65842,51.18764,51.76586,Electric Fan
50.53046,75.77244,54.75107,64.67107,59.12999,46.13348,64.94659,55.44081,44.61414,59.81756,Laptop Charger
14.32309,10.07659,12.19159,10.37437,7.68517,10.82413,6.66472,5.63743,6.25119,7.93778,Desk Lamp
0.73898,0.49625,0.23115,2.12325,0.36273,0.52415,0.7823,0.65231,0.70043,0.01129,Phone Charger
33.17824,24.31188,18.78248,18.81413,17.27424,17.74581,18.97183,21.58765,20.2748,22.35874,Monitor
56.16639,53.55384,54.36201,52.41753,52.36708,54.64778,52.89794,54.81391,51.86894,52.82098,Electric Fan
61.85775,46.17173,58.00073,76.61695,61.52584,60.10707,52.75738,62.91725,60.94361,43.42115,Laptop Charger
7.08172,8.19112,7.77819,5.20195,9.17596,7.79506,7.65547,6.35666,4.7995,8.95523,Desk Lamp
0.14017,0.6867,0.04428,0.32708,0.22947,0.91782,0.50594,0.35212,0.08707,0.25259,Phone Charger
23.25675,21.61654,22.79567,19.50957,20.25722,20.50244,21.36289,23.80414,23.73647,19.32104,Monitor
52.34368,50.50382,51.22402,51.27666,50.8883,51.926,49.99676,49.55764,51.41933,48.89418,Electric Fan
48.60289,52.14199,61.74157,64.22999,58.29505,54.29096,50.24828,46.93673,44.55935,54.33873,Laptop Charger
8.65966,7.76976,9.0383,5.83671,11.03655,8.33904,7.65122,7.65971,8.99878,10.56568,Desk Lamp
0.21826,0.33841,1.71462,1.11149,1.01499,2.1202,0.62473,0.17015,0.94806,2.54572,Phone Charger
19.46062,20.47501,24.61697,23.25217,18.63967,18.25537,22.10847,20.6913,21.20973,17.99088,Monitor
52.16978,51.09347,52.68515,51.97434,51.64889,49.70437,52.33998,50.6622,51.59906,51.24282,Electric Fan
